id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo
1VnQfAPIHwFImjfO9gnyUt,Leave the Pieces,47,0.0255,0.514,0.679,0.0,0.0594,0.0273,0.496,-6.117,164.109
0PFxreXPMlzz74HGL4AtVC,Poison - Zdot Remix,44,0.0793,0.755,0.632,3.75e-05,0.103,0.0559,0.357,-8.139,134.014
69gQgkobVW8bWjoCjBYQUd,I Got U,59,0.00369,0.647,0.762,0.00641,0.0884,0.0363,0.451,-7.765,120.832
32lmL4vQAAotg6MrJnhlQZ,Work,69,0.0752,0.725,0.534,0.0,0.0919,0.0946,0.558,-6.238,91.974
02DurCgOvDdX0uKEjqcl3W,Who Are You,63,0.299,0.653,0.631,0.00265,0.0627,0.0461,0.516,-11.334,156.32
2QtJA4gbwe1AcanB2p21aP,Stay The Night - Featuring Hayley Williams Of Paramore,62,0.109,0.596,0.738,0.0,0.0947,0.0411,0.461,-3.109,127.961
6EGAfJaLUFzhS4zRBIEQ2J,You Make It Easy,69,0.143,0.375,0.574,0.0,0.11,0.0315,0.406,-5.305,132.025
3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,72,0.122,0.549,0.751,0.0,0.208,0.0299,0.493,-5.423,89.953
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,75,0.0285,0.573,0.739,0.0,0.111,0.129,0.451,-5.74,97.085
0ME4uQYTQmovH1v9PbWqW2,Lead Me On,70,0.106,0.464,0.688,0.0,0.146,0.0301,0.411,-4.553,173.793
23TxRN09aR1RB0G0tFoT0b,Better Man,61,0.112,0.514,0.836,0.0,0.0878,0.0381,0.501,-3.663,143.888
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,83,0.186,0.548,0.532,0.000263,0.217,0.0323,0.405,-7.596,85.03
5xvagygk66wKzm6ecuUp14,Never Sleep Alone (feat. Tess Comrie),59,0.185,0.621,0.831,0.000925,0.102,0.038,0.527,-3.793,125.946
4OKf7CcYuw5H2HptkcKxcP,You're My Best Friend - Remastered 2011,67,0.155,0.512,0.762,0.0108,0.0874,0.0495,0.553,-7.035,118.894
6IFwG4pnVPcpwX4kXFUbsV,Influence,54,0.0993,0.768,0.593,0.000184,0.105,0.0463,0.329,-9.643,104.954
66hOCG7IpEJI5wfLDhajxD,Last Young Renegade,59,0.00111,0.582,0.843,0.0,0.102,0.0401,0.446,-5.596,128.994
5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,67,0.129,0.673,0.72,0.0133,0.0813,0.0376,0.6,-10.411,133.62
6jG2YzhxptolDzLHTGLt7S,Drunk in Love,74,0.00969,0.589,0.621,0.00104,0.181,0.0468,0.401,-6.902,140.03
3ezkJgagRPZ39KCTrKcSI7,Ghosts 'n' Stuff,60,4.73e-05,0.611,0.613,0.105,0.159,0.129,0.491,-6.942,127.979
41kUupAzNt7hy1BEbPkp0P,When We Were Young,57,0.137,0.398,0.629,1.12e-05,0.109,0.0309,0.345,-6.249,141.866
6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,75,0.0265,0.658,0.535,0.0,0.2,0.0573,0.419,-8.983,110.684
6GsAD8PgHxmEuIPTG8GP3M,It Goes Like This,65,0.117,0.543,0.837,0.0,0.0872,0.0608,0.506,-6.448,168.056
0b6wdul3A5sQNpIOv03OxP,Ocean Drive,75,0.00637,0.686,0.718,0.000703,0.119,0.0431,0.557,-5.054,115.026
1t34UsQ634a233qysq6D6L,Female,64,0.186,0.567,0.477,4.86e-05,0.111,0.0331,0.321,-8.781,85.019
6p2liQLGoDaLXgND68bfVt,Coming Undone,70,0.000658,0.687,0.677,0.000146,0.0564,0.0508,0.546,-4.172,75.052
18KDpXD6e2UGRA5ORND1CU,Overload - The Chainsmokers Remix,60,0.00406,0.72,0.587,0.000178,0.109,0.0318,0.313,-6.458,130.018
6BivCuyKJtgLa9ooFsvUoZ,Flicker,54,0.0341,0.587,0.717,0.000426,0.166,0.118,0.569,-3.748,91.992
3N5oiETJEStSB71TjTFkWV,Bounce It,60,0.00811,0.785,0.572,0.0,0.111,0.0859,0.477,-9.383,140.032
0cOBMETjhxublnnwhbnzJO,Reality - Radio Edit,60,0.0197,0.714,0.697,2e-06,0.0697,0.032,0.602,-7.887,122.145
4QeoDcR16IHpmmgFGQDrCp,No Vacancy,68,0.0556,0.72,0.727,0.0,0.138,0.0489,0.481,-3.882,99.994
0EYVLScBOsMDamnGR9TnCQ,Holding On,34,0.126,0.577,0.796,3.81e-05,0.168,0.0798,0.377,-5.559,119.036
1cOyWWUr3oXJIxY0AjJEx9,YOUTH,67,0.0625,0.628,0.737,0.0,0.0777,0.041,0.592,-4.437,91.507
6P6qT8H5f61xJS7uSikLMb,Blonde,52,0.123,0.714,0.523,0.0,0.0619,0.0391,0.363,-6.044,79.991
