id,name,popularity,acousticness,danceability,energy,liveness,speechiness,valence,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4
25Mf35cnnFalpVNFp0g3hW,First Time,66,0.0052,0.711,0.844,0.0936,0.0375,0.21,2,0.268070551146691,0.561562103583858,0.0744736796242038,0.256339679935158,0.568611577155262
6tB4XVKceo2307SSWXaO0y,Just Friends,68,0.105,0.639,0.685,0.143,0.049,0.363,2,0.20770475371531,0.508820427543657,0.020172514768545,0.269672506241185,0.513484703827448
3Ie3qJJHJboOMSVUIxkEtP,Alien,21,0.0521,0.724,0.648,0.0699,0.0398,0.564,2,0.150114932514024,0.587632775549337,0.135960861418753,0.37692957110852,0.458969287754309
7C6gFnRNxJ2iFE6NjKSgYc,Pretty Face,50,0.00235,0.538,0.89,0.354,0.0489,0.628,3,0.424072474813988,0.360137092956614,0.249229839847828,0.109072339413337,0.662255184727085
4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams,79,0.234,0.751,0.501,0.0467,0.0552,0.902,0,0.112026998172017,0.636839536338489,0.267101501458312,0.500329507181623,0.351951052695898
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,77,0.142,0.843,0.805,0.0771,0.269,0.615,2,0.179448508148189,0.586844214479858,0.11620178814912,0.352815788674973,0.487194704271226
58ZvuqZgeuZMCbpCsH9E76,Right Where You Want Me,50,0.00284,0.706,0.548,0.0474,0.0294,0.706,0,0.120249796666987,0.616900320616523,0.203875992521668,0.441853769081833,0.408867795648664
4PMkbjjpoIMsEUD2F7ZD3r,Desert Night,47,0.0477,0.561,0.447,0.104,0.0762,0.288,0,0.0659599349815655,0.543343285090889,0.165334372377347,0.403107182010077,0.38890113703099
1I8tHoNBFTuoJAlh4hfVVE,Firestone (feat. Conrad Sewell),77,0.408,0.486,0.652,0.077,0.052,0.391,2,0.320315943207066,0.55333212748863,0.106319497800885,0.205707359711026,0.612332226170928
7ruylcpwEbeCl3HfB9SSyM,Crowd Control,59,0.00753,0.87,0.664,0.0514,0.062,0.854,0,0.122679209476672,0.623375805807536,0.213729677404308,0.450745185335823,0.404894050166484
75NhhYjHO43mvZgYtnXgti,Lonely Together (feat. Rita Ora),79,0.176,0.65,0.683,0.0832,0.0704,0.228,2,0.211637510731092,0.563010582691978,0.0714259174249689,0.303395357117161,0.519504530991169
2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,73,0.0527,0.613,0.764,0.197,0.136,0.417,2,0.279917975797871,0.463360390996639,0.0700957587379152,0.188543494958469,0.567553351496549
5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,73,0.282,0.832,0.608,0.0761,0.0385,0.589,0,0.0910667109732279,0.608750789780962,0.22071855653042,0.458380804647412,0.376514063808124
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,79,0.0223,0.638,0.699,0.0917,0.384,0.66,2,0.228027002567446,0.553990203345041,0.0570072220530935,0.282089528822076,0.534128560235934
2XMTqoHHSH0lvuXrvIEdco,Capsize,75,0.0398,0.683,0.708,0.686,0.0305,0.355,1,0.462691596439122,0.106068704579845,0.441575866646742,0.437746595120223,0.566030513991174
609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,62,0.171,0.348,0.87,0.202,0.137,0.763,3,0.542496230954899,0.508311785954701,0.341936404441251,0.104436863645323,0.776215079679932
3kxfsdsCpFgN412fpnW85Y,Redbone,78,0.172,0.745,0.356,0.123,0.0941,0.607,0,0.160762954628005,0.62206864558362,0.380407648768933,0.591770458970369,0.18744539790108
3nAeCnfPmQtUaLkcJ4Y48q,Warm,51,0.513,0.441,0.476,0.104,0.122,0.16,2,0.210643388593544,0.502090254522299,0.0178046078681974,0.264322914832909,0.515019191934882
0fykql82DQdKwLJnSBpy5E,Just A Feeling,45,0.00993,0.78,0.624,0.0849,0.0594,0.682,0,0.101273323561511,0.58919942068021,0.17712444413959,0.418350369335756,0.408605033864372
4sJqSKPc5fZ5OZ8JiVI44N,Stranger Things (feat. OneRepublic),70,0.234,0.604,0.661,0.0951,0.0375,0.506,2,0.224991381391077,0.546377813587494,0.0480628217675104,0.278271031309915,0.53145397759423
6OWSWHTyyQKurAEWPGWkKN,Sundream,52,0.0467,0.45,0.714,0.361,0.0405,0.254,3,0.437399174803719,0.286412690778358,0.294030414589481,0.183897896422415,0.652328993184734
61h6ZJSXHwElzSXv2WDtmL,Higher,53,0.00265,0.572,0.828,0.137,0.0432,0.0398,2,0.347315996324058,0.520948391742378,0.125360401252698,0.152638957393445,0.631930273628937
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,80,0.181,0.637,0.713,0.137,0.0747,0.243,2,0.229155015009693,0.514669437054478,0.0105873591570979,0.253555313827072,0.532871922132725
3hYvGiw2Q8QE2YWdIJLBz0,Tell Me You Love Me,76,0.0241,0.536,0.582,0.181,0.0433,0.253,2,0.221014042562339,0.444131904863934,0.0732736764120495,0.249530016246243,0.509339103045865
0tBbt8CrmxbjRP0pueQkyU,Wolves,86,0.129,0.72,0.807,0.183,0.0432,0.305,2,0.228588901626231,0.49285565105462,0.0148819393014598,0.244725521959683,0.529116104319644
