id,name,popularity,artist_name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo,Assignments
58ZvuqZgeuZMCbpCsH9E76,Right Where You Want Me,50,Jesse McCartney,0.00284,0.706,0.548,7.37999999999989E-05,0.0474,0.0294,0.706,0.828014505893019,0.211334977214558,5
4PMkbjjpoIMsEUD2F7ZD3r,Desert Night,48,RÜFÜS DU SOL,0.0477,0.561,0.447,0.818,0.104,0.0762,0.288,0.315140525838622,0.406306573444035,3
1I8tHoNBFTuoJAlh4hfVVE,Firestone (feat. Conrad Sewell),78,Kygo,0.408,0.486,0.652,6.63000000000052E-05,0.077,0.052,0.391,0.609700815956482,0.321048442474561,7
7ruylcpwEbeCl3HfB9SSyM,Crowd Control,59,FISHER,0.00753,0.87,0.664,0.341,0.0514,0.062,0.854,0.550589301903898,0.414484362319745,5
75NhhYjHO43mvZgYtnXgti,Lonely Together (feat. Rita Ora),79,Avicii,0.176,0.65,0.683,2.8200000000006E-05,0.0832,0.0704,0.228,0.785766092475068,0.242337224545852,7
2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,73,Taylor Swift,0.0527,0.613,0.764,0,0.197,0.136,0.417,0.674705349048051,0.68748829514951,8
5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,73,Nicky Jam,0.282,0.832,0.608,0,0.0761,0.0385,0.589,0.717044424297371,0.172459267120295,5
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,79,Kanye West,0.0223,0.638,0.699,0,0.0917,0.384,0.66,0.762556663644606,0.164078594169424,9
2XMTqoHHSH0lvuXrvIEdco,Capsize,76,FRENSHIP,0.0398,0.683,0.708,0.155,0.686,0.0305,0.355,0.698730734360834,0.164484362319745,6
609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,62,Blake Shelton,0.171,0.348,0.87,4.40000000000162E-06,0.202,0.137,0.763,0.733544877606528,0.0895811224171296,1
3kxfsdsCpFgN412fpnW85Y,Redbone,78,Childish Gambino,0.172,0.745,0.356,0.00942999999999999,0.123,0.0941,0.607,0.319673617407072,0.68762875335539,5
3nAeCnfPmQtUaLkcJ4Y48q,Warm,51,SG Lewis,0.513,0.441,0.476,0.382,0.104,0.122,0.16,0,0.195135464136338,3
0fykql82DQdKwLJnSBpy5E,Just A Feeling,45,Phantoms,0.00993,0.78,0.624,0.0302,0.0849,0.0594,0.682,0.695738893925657,0.414328297646545,5
4sJqSKPc5fZ5OZ8JiVI44N,Stranger Things (feat. OneRepublic),71,Kygo,0.234,0.604,0.661,0,0.0951,0.0375,0.506,0.728649138712602,0.273924714401648,7
6OWSWHTyyQKurAEWPGWkKN,Sundream,52,RÜFÜS DU SOL,0.0467,0.45,0.714,0.0052,0.361,0.0405,0.254,0.576699909338169,0.380196953617579,8
61h6ZJSXHwElzSXv2WDtmL,Higher,53,Audien,0.00265,0.572,0.828,0.243,0.137,0.0432,0.0398,0.963916591115141,0.43738685311193,8
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,80,Camila Cabello,0.181,0.637,0.713,0.000636999999999999,0.137,0.0747,0.243,0.871985494106981,0.452673387851926,7
3hYvGiw2Q8QE2YWdIJLBz0,Tell Me You Love Me,76,Demi Lovato,0.0241,0.536,0.582,0,0.181,0.0433,0.253,0.770534904805077,0.0798270803420937,7
0tBbt8CrmxbjRP0pueQkyU,Wolves,86,Selena Gomez,0.129,0.72,0.807,0,0.183,0.0432,0.305,0.84868540344515,0.413836693925963,8
