id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo,Assignments
7tGlzXJv6GD5e5qlu5YmDg,Love Me,67,0.0119,0.674,0.608,0,0.103,0.0334,0.464,0.601370289629399,0.505377541926598,5
29gsi1zZrZxdStACmTQB0Z,Studio,69,0.0507,0.709,0.589,0,0.0585,0.0433,0.58,0.482196615799855,0.596218504415458,7
65hRZOQkVjmBdusz1N7aOv,Save The World,67,0.0144,0.507,0.665,0,0.0759,0.0474,0.4,0.500674763832659,0.52489265170542,5
6p2liQLGoDaLXgND68bfVt,Coming Undone,70,0.000658000000000006,0.687,0.677,0.000146,0.0564,0.0508,0.546,0.856327208553929,3.03815928056617E-05,7
77dcKrzRUI02XjHd2okARp,A Country Boy Can Survive,62,0.144,0.688,0.459,0,0.0816,0.0365,0.493,0.318488529014845,0.00136717167625366,5
2RChe0r2cMoyOvuKobZy44,Always,74,0.117,0.383,0.659,0,0.0778,0.0312,0.327,0.71244679746704,0.665822733533177,5
0SjaL4cjD4PXOY4orbZSMZ,Shine,52,0.189,0.667,0.716,0,0.104,0.0349,0.493,0.748572614969376,0.333721542574739,5
3au2vSIdhu3JDzGiffhZds,Bring Me to Life,52,0.0818,0.557,0.853,0,0.13,0.0406,0.459,0.986608533167238,0.505539577088228,1
6otiaV2fagE3s8IvP6WkwG,I'm Just A Kid,69,0.00107,0.527,0.834,0.000102,0.0993,0.0447,0.422,0.715249662618084,0.354613951227416,1
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,78,0.112,0.612,0.84,0,0.116,0.0509,0.438,0.962939894113983,0.546797780118286,1
0PFxreXPMlzz74HGL4AtVC,Poison - Zdot Remix,44,0.0793,0.755,0.632,3.75000000000002E-05,0.103,0.0559,0.357,0.444513650991384,0.597150206594831,5
4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,77,0.0938,0.567,0.795,0,0.114,0.134,0.635,0.771929824561403,0.962195171352183,7
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me - LP Mix,78,0.00135,0.446,0.764,0,0.099,0.033,0.543,0.76601266479809,0.982793891274406,1
48UPSzbZjgc449aqz8bxox,Californication,81,0.0021,0.592,0.767,0.00165,0.127,0.027,0.328,1,0.217066353398687,1
53rP0JKz6J3U1H6rIwBwjM,Texas Lullaby,48,0.137,0.501,0.649,1.90999999999993E-06,0.0582,0.0412,0.401,0.452091767881241,0.880347160333792,5
06Hdbxh6NCy6TIhjdXTchB,Headlights (feat. Ilsey),65,0.0245,0.597,0.685,0.000335,0.182,0.0367,0.369,0.628049413474515,0.475502309001053,5
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",80,0.386,0.602,0.522,1.43999999999999E-05,0.0941,0.0285,0.36,0.351915291186546,0.623713845904561,5
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,83,0.186,0.548,0.532,0.000263,0.217,0.0323,0.405,0.500882383473477,0.10107955926436,5
32lmL4vQAAotg6MrJnhlQZ,Work,69,0.0752,0.725,0.534,0,0.0919,0.0946,0.558,0.641856119588913,0.171402819411812,5
72iAaOAsrBYa4U0VV7cHFd,Sunday Morning,57,0.00733,0.584,0.716,0,0.0879,0.0342,0.525,0.797674660022838,0.151462367333711,7
69gQgkobVW8bWjoCjBYQUd,I Got U,59,0.00369,0.647,0.762,0.00641,0.0884,0.0363,0.451,0.483338523824354,0.463653487806854,5
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,75,0.0285,0.573,0.739,0,0.111,0.129,0.451,0.6935534101526,0.223162926355019,5
0rpwb2kLgS6KAZsostOj1O,Grave,60,0.0531,0.544,0.654,0,0.137,0.0297,0.602,0.719090625973217,0.678603256906749,7
