id,name,popularity,artist_name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,79,Kanye West,0.0223,0.638,0.699,0.0,0.0917,0.384,0.66,-5.54,92.939
2XMTqoHHSH0lvuXrvIEdco,Capsize,76,FRENSHIP,0.0398,0.683,0.708,0.155,0.686,0.0305,0.355,-6.244,92.991
609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,62,Blake Shelton,0.171,0.348,0.87,4.4e-06,0.202,0.137,0.763,-5.86,83.392
3kxfsdsCpFgN412fpnW85Y,Redbone,78,Childish Gambino,0.172,0.745,0.356,0.00943,0.123,0.0941,0.607,-10.425,160.033
3nAeCnfPmQtUaLkcJ4Y48q,Warm,51,SG Lewis,0.513,0.441,0.476,0.382,0.104,0.122,0.16,-13.951,96.919
0fykql82DQdKwLJnSBpy5E,Just A Feeling,45,Phantoms,0.00993,0.78,0.624,0.0302,0.0849,0.0594,0.682,-6.277,125.009
4sJqSKPc5fZ5OZ8JiVI44N,Stranger Things (feat. OneRepublic),71,Kygo,0.234,0.604,0.661,0.0,0.0951,0.0375,0.506,-5.914,107.016
6OWSWHTyyQKurAEWPGWkKN,Sundream,52,RÜFÜS DU SOL,0.0467,0.45,0.714,0.0052,0.361,0.0405,0.254,-7.59,120.635
61h6ZJSXHwElzSXv2WDtmL,Higher,53,Audien,0.00265,0.572,0.828,0.243,0.137,0.0432,0.0398,-3.319,127.964
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,80,Camila Cabello,0.181,0.637,0.713,0.000637,0.137,0.0747,0.243,-4.333,129.923
3hYvGiw2Q8QE2YWdIJLBz0,Tell Me You Love Me,76,Demi Lovato,0.0241,0.536,0.582,0.0,0.181,0.0433,0.253,-5.452,82.142
0tBbt8CrmxbjRP0pueQkyU,Wolves,86,Selena Gomez,0.129,0.72,0.807,0.0,0.183,0.0432,0.305,-4.59,124.946
